LCSC Part,First Category,Second Category,MFR.Part,Package,Solder Joint,Manufacturer,Library Type,Description,Datasheet,Price,Stock
C17724,Resistors,Chip Resistor - Surface Mount,0805W8F510KT5E,805,2,UNI-ROYAL(Uniroyal Elec),Basic,125mW Thick Film Resistors 150V 亇1% 亇400ppm/亷-55乣+155亷5.1兌 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F510KT5E_C17724.pdf,"20-180:0.003476923,200-580:0.002846154,600-1980:0.002523077,2000-9980:0.002369231,10000-19980:0.002169231,20000-:0.002107692",27367
C17733,Resistors,Chip Resistor - Surface Mount,0805W8F5103T5E,805,2,UNI-ROYAL(Uniroyal Elec),Basic,1/8W Thick Film Resistors 150V 亇1% 亇100ppm/亷-55乣+155亷510k兌 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F5103T5E_C17733.pdf,"20-180:0.002092308,200-580:0.001630769,600-1980:0.001386154,2000-9980:0.001275385,10000-19980:0.001127692,20000-:0.001078462",93975
C17734,Resistors,Chip Resistor - Surface Mount,0805W8F5100T5E,805,2,UNI-ROYAL(Uniroyal Elec),Basic,125mW Thick Film Resistors 150V 亇1% 亇100ppm/亷-55乣+155亷510兌 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F5100T5E_C17734.pdf,"20-180:0.001938462,200-580:0.001515385,600-1980:0.001290769,2000-9980:0.001187692,10000-19980:0.001052308,20000-:0.001006154",160963
C17737,Resistors,Chip Resistor - Surface Mount,0805W8F5102T5E,805,2,UNI-ROYAL(Uniroyal Elec),Basic,1/8W Thick Film Resistors 150V 亇1% 亇100ppm/亷-55乣+155亷51k兌 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F5102T5E_C17737.pdf,"20-180:0.002123077,200-580:0.001646154,600-1980:0.001393846,2000-9980:0.001280000,10000-19980:0.001127692,20000-:0.001076923",224395
C17738,Resistors,Chip Resistor - Surface Mount,0805W8F510JT5E,805,2,UNI-ROYAL(Uniroyal Elec),Basic,1/8W Thick Film Resistors 150V 亇1% 亇100ppm/亷-55乣+155亷51兌 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F510JT5E_C17738.pdf,"20-180:0.002015385,200-580:0.001584615,600-1980:0.001349231,2000-9980:0.001244615,10000-19980:0.001107692,20000-:0.001060000",110917
C17756,Resistors,Chip Resistor - Surface Mount,0805W8F5602T5E,805,2,UNI-ROYAL(Uniroyal Elec),Basic,1/8W Thick Film Resistors 150V 亇1% 亇100ppm/亷-55乣+155亷56k兌 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F5602T5E_C17756.pdf,"20-180:0.002061538,200-580:0.001600000,600-1980:0.001367692,2000-9980:0.001258462,10000-19980:0.001115385,20000-:0.001066154",14000
C17757,Resistors,Chip Resistor - Surface Mount,0805W8F560JT5E,805,2,UNI-ROYAL(Uniroyal Elec),Basic,1/8W Thick Film Resistors 150V 亇1% 亇100ppm/亷-55乣+155亷56兌 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F560JT5E_C17757.pdf,"20-180:0.002076923,200-580:0.001630769,600-1980:0.001393846,2000-9980:0.001286154,10000-19980:0.001144615,20000-:0.001095385",69988
C17767,Resistors,Chip Resistor - Surface Mount,0805W8F6201T5E,805,2,UNI-ROYAL(Uniroyal Elec),Basic,1/8W Thick Film Resistors 150V 亇1% 亇100ppm/亷-55乣+155亷6.2k兌 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F6201T5E_C17767.pdf,"20-180:0.002123077,200-580:0.001630769,600-1980:0.001378462,2000-9980:0.001261538,10000-19980:0.001106154,20000-:0.001053846",83922
C17772,Resistors,Chip Resistor - Surface Mount,0805W8F6801T5E,805,2,UNI-ROYAL(Uniroyal Elec),Basic,125mW Thick Film Resistors 150V 亇1% 亇100ppm/亷-55乣+155亷6.8k兌 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F6801T5E_C17772.pdf,"20-180:0.001907692,200-580:0.001487692,600-1980:0.001267692,2000-9980:0.001166154,10000-19980:0.001032308,20000-:0.000987692",205013
C17783,Resistors,Chip Resistor - Surface Mount,0805W8F6202T5E,805,2,UNI-ROYAL(Uniroyal Elec),Basic,1/8W Thick Film Resistors 150V 亇1% 亇100ppm/亷-55乣+155亷62k兌 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F6202T5E_C17783.pdf,"20-180:0.002200000,200-580:0.001723077,600-1980:0.001463077,2000-9980:0.001347692,10000-19980:0.001195385,20000-:0.001144615",14927
C17797,Resistors,Chip Resistor - Surface Mount,0805W8F6803T5E,805,2,UNI-ROYAL(Uniroyal Elec),Basic,125mW Thick Film Resistors 150V 亇1% 亇100ppm/亷-55乣+155亷680k兌 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F6803T5E_C17797.pdf,"20-180:0.001738462,200-580:0.001323077,600-1980:0.001103077,2000-9980:0.001004615,10000-19980:0.000872308,20000-:0.000827692",15531
C17798,Resistors,Chip Resistor - Surface Mount,0805W8F6800T5E,805,2,UNI-ROYAL(Uniroyal Elec),Basic,1/8W Thick Film Resistors 150V 亇1% 亇100ppm/亷-55乣+155亷680兌 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F6800T5E_C17798.pdf,"20-180:0.002076923,200-580:0.001600000,600-1980:0.001346154,2000-9980:0.001232308,10000-19980:0.001081538,20000-:0.001030769",231417
C17801,Resistors,Chip Resistor - Surface Mount,0805W8F6802T5E,805,2,UNI-ROYAL(Uniroyal Elec),Basic,125mW Thick Film Resistors 150V 亇1% 亇100ppm/亷-55乣+155亷68k兌 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F6802T5E_C17801.pdf,"20-180:0.002969231,200-580:0.002430769,600-1980:0.002153846,2000-9980:0.002030769,10000-19980:0.001861538,20000-:0.001800000",77618
C17802,Resistors,Chip Resistor - Surface Mount,0805W8F680JT5E,805,2,UNI-ROYAL(Uniroyal Elec),Basic,125mW Thick Film Resistors 150V 亇1% 亇200ppm/亷-55乣+155亷68兌 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F680JT5E_C17802.pdf,"20-180:0.002046154,200-580:0.001600000,600-1980:0.001356923,2000-9980:0.001249231,10000-19980:0.001106154,20000-:0.001058462",92021
C17807,Resistors,Chip Resistor - Surface Mount,0805W8F7501T5E,805,2,UNI-ROYAL(Uniroyal Elec),Basic,125mW Thick Film Resistors 150V 亇1% 亇100ppm/亷-55乣+155亷7.5k兌 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F7501T5E_C17807.pdf,"20-180:0.002076923,200-580:0.001615385,600-1980:0.001375385,2000-9980:0.001266154,10000-19980:0.001121538,20000-:0.001072308",56392
C17818,Resistors,Chip Resistor - Surface Mount,0805W8F7500T5E,805,2,UNI-ROYAL(Uniroyal Elec),Basic,125mW Thick Film Resistors 150V 亇1% 亇100ppm/亷-55乣+155亷750兌 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F7500T5E_C17818.pdf,"20-180:0.002353846,200-580:0.001846154,600-1980:0.001584615,2000-9980:0.001461538,10000-19980:0.001300000,20000-:0.001244615",28140
C17819,Resistors,Chip Resistor - Surface Mount,0805W8F7502T5E,805,2,UNI-ROYAL(Uniroyal Elec),Basic,1/8W Thick Film Resistors 150V 亇1% 亇100ppm/亷-55乣+155亷75k兌 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F7502T5E_C17819.pdf,"20-180:0.002184615,200-580:0.001707692,600-1980:0.001464615,2000-9980:0.001350769,10000-19980:0.001201538,20000-:0.001150769",29672
C17828,Resistors,Chip Resistor - Surface Mount,0805W8F8201T5E,805,2,UNI-ROYAL(Uniroyal Elec),Basic,1/8W Thick Film Resistors 150V 亇1% 亇100ppm/亷-55乣+155亷8.2k兌 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F8201T5E_C17828.pdf,"20-180:0.002092308,200-580:0.001630769,600-1980:0.001389231,2000-9980:0.001278462,10000-19980:0.001132308,20000-:0.001083077",135997
C17837,Resistors,Chip Resistor - Surface Mount,0805W8F8200T5E,805,2,UNI-ROYAL(Uniroyal Elec),Basic,125mW Thick Film Resistors 150V 亇1% 亇100ppm/亷-55乣+155亷820兌 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F8200T5E_C17837.pdf,"20-180:0.002092308,200-580:0.001630769,600-1980:0.001395385,2000-9980:0.001284615,10000-19980:0.001140000,20000-:0.001090769",55052
C17840,Resistors,Chip Resistor - Surface Mount,0805W8F8202T5E,805,2,UNI-ROYAL(Uniroyal Elec),Basic,125mW Thick Film Resistors 150V 亇1% 亇100ppm/亷-55乣+155亷82k兌 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F8202T5E_C17840.pdf,"20-180:0.002261538,200-580:0.001769231,600-1980:0.001513846,2000-9980:0.001395385,10000-19980:0.001241538,20000-:0.001189231",25051
C17855,Resistors,Chip Resistor - Surface Mount,0805W8F9101T5E,805,2,UNI-ROYAL(Uniroyal Elec),Basic,125mW Thick Film Resistors 150V 亇1% 亇100ppm/亷-55乣+155亷9.1k兌 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F9101T5E_C17855.pdf,"20-180:0.001861538,200-580:0.001407692,600-1980:0.001170769,2000-9980:0.001063077,10000-19980:0.000920000,20000-:0.000870769",36324
